;Match_ID;Unique_Team_ID;Unique_Team;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;TeamScores
0;1491;1;Bayern Munich;2011-08-07;Bayern Munich;M'gladbach;0;1;A;0.0
1;1094;1;Bayern Munich;2011-08-13;Wolfsburg;Bayern Munich;0;1;A;1.0
2;1211;1;Bayern Munich;2011-08-20;Bayern Munich;Hamburg;5;0;H;5.0
3;1104;1;Bayern Munich;2011-08-27;Kaiserslautern;Bayern Munich;0;3;A;3.0
4;1197;1;Bayern Munich;2011-09-10;Bayern Munich;Freiburg;7;0;H;7.0
5;1100;1;Bayern Munich;2011-09-18;Schalke 04;Bayern Munich;0;2;A;2.0
6;1262;1;Bayern Munich;2011-09-24;Bayern Munich;Leverkusen;3;0;H;3.0
7;1102;1;Bayern Munich;2011-10-01;Hoffenheim;Bayern Munich;0;0;D;0.0
8;1401;1;Bayern Munich;2011-10-15;Bayern Munich;Hertha;4;0;H;4.0
9;1101;1;Bayern Munich;2011-10-23;Hannover;Bayern Munich;2;1;H;1.0
10;1293;1;Bayern Munich;2011-10-29;Bayern Munich;Nurnberg;4;0;H;4.0
11;1106;1;Bayern Munich;2011-11-06;Augsburg;Bayern Munich;1;2;A;2.0
12;1122;1;Bayern Munich;2011-11-19;Bayern Munich;Dortmund;0;1;A;0.0
13;1095;1;Bayern Munich;2011-11-27;Mainz;Bayern Munich;3;2;H;2.0
14;1335;1;Bayern Munich;2011-12-03;Bayern Munich;Werder Bremen;4;1;H;4.0
15;1093;1;Bayern Munich;2011-12-11;Stuttgart;Bayern Munich;1;2;A;2.0
16;1178;1;Bayern Munich;2011-12-16;Bayern Munich;FC Koln;3;0;H;3.0
17;1097;1;Bayern Munich;2012-01-20;M'gladbach;Bayern Munich;3;1;H;1.0
18;1481;1;Bayern Munich;2012-01-28;Bayern Munich;Wolfsburg;2;0;H;2.0
19;1098;1;Bayern Munich;2012-02-04;Hamburg;Bayern Munich;1;1;D;1.0
20;1235;1;Bayern Munich;2012-02-11;Bayern Munich;Kaiserslautern;2;0;H;2.0
21;1096;1;Bayern Munich;2012-02-18;Freiburg;Bayern Munich;0;0;D;0.0
22;1310;1;Bayern Munich;2012-02-26;Bayern Munich;Schalke 04;2;0;H;2.0
23;1103;1;Bayern Munich;2012-03-03;Leverkusen;Bayern Munich;2;0;H;0.0
24;1643;1;Bayern Munich;2012-03-10;Bayern Munich;Hoffenheim;7;1;H;7.0
25;1105;1;Bayern Munich;2012-03-17;Hertha;Bayern Munich;0;6;A;6.0
26;1364;1;Bayern Munich;2012-03-24;Bayern Munich;Hannover;2;1;H;2.0
27;1092;1;Bayern Munich;2012-03-31;Nurnberg;Bayern Munich;0;1;A;1.0
28;1623;1;Bayern Munich;2012-04-07;Bayern Munich;Augsburg;2;1;H;2.0
29;1108;1;Bayern Munich;2012-04-11;Dortmund;Bayern Munich;1;0;H;0.0
30;1428;1;Bayern Munich;2012-04-14;Bayern Munich;Mainz;0;0;D;0.0
31;1099;1;Bayern Munich;2012-04-21;Werder Bremen;Bayern Munich;1;2;A;2.0
32;1324;1;Bayern Munich;2012-04-28;Bayern Munich;Stuttgart;2;0;H;2.0
33;1107;1;Bayern Munich;2012-05-05;FC Koln;Bayern Munich;1;4;A;4.0
34;1219;2;Dortmund;2011-08-05;Dortmund;Hamburg;3;1;H;3.0
35;1113;2;Dortmund;2011-08-13;Hoffenheim;Dortmund;1;0;H;0.0
36;1295;2;Dortmund;2011-08-20;Dortmund;Nurnberg;2;0;H;2.0
37;1109;2;Dortmund;2011-08-27;Leverkusen;Dortmund;0;0;D;0.0
38;1407;2;Dortmund;2011-09-10;Dortmund;Hertha;1;2;A;1.0
39;1118;2;Dortmund;2011-09-18;Hannover;Dortmund;2;1;H;1.0
40;1124;2;Dortmund;2011-09-24;Mainz;Dortmund;1;2;A;2.0
41;1634;2;Dortmund;2011-10-01;Dortmund;Augsburg;4;0;H;4.0
42;1123;2;Dortmund;2011-10-14;Werder Bremen;Dortmund;0;2;A;2.0
43;1179;2;Dortmund;2011-10-22;Dortmund;FC Koln;5;0;H;5.0
44;1114;2;Dortmund;2011-10-29;Stuttgart;Dortmund;1;1;D;1.0
45;1468;2;Dortmund;2011-11-05;Dortmund;Wolfsburg;5;1;H;5.0
46;1122;2;Dortmund;2011-11-19;Bayern Munich;Dortmund;0;1;A;1.0
47;1304;2;Dortmund;2011-11-26;Dortmund;Schalke 04;2;0;H;2.0
48;1116;2;Dortmund;2011-12-03;M'gladbach;Dortmund;1;1;D;1.0
49;1233;2;Dortmund;2011-12-11;Dortmund;Kaiserslautern;1;1;D;1.0
50;1110;2;Dortmund;2011-12-17;Freiburg;Dortmund;1;4;A;4.0
51;1115;2;Dortmund;2012-01-22;Hamburg;Dortmund;1;5;A;5.0
52;1637;2;Dortmund;2012-01-28;Dortmund;Hoffenheim;3;1;H;3.0
53;1112;2;Dortmund;2012-02-03;Nurnberg;Dortmund;0;2;A;2.0
54;1268;2;Dortmund;2012-02-11;Dortmund;Leverkusen;1;0;H;1.0
55;1111;2;Dortmund;2012-02-18;Hertha;Dortmund;0;1;A;1.0
56;1373;2;Dortmund;2012-02-26;Dortmund;Hannover;3;1;H;3.0
57;1425;2;Dortmund;2012-03-03;Dortmund;Mainz;2;1;H;2.0
58;1120;2;Dortmund;2012-03-10;Augsburg;Dortmund;0;0;D;0.0
59;1333;2;Dortmund;2012-03-17;Dortmund;Werder Bremen;1;0;H;1.0
60;1119;2;Dortmund;2012-03-25;FC Koln;Dortmund;1;6;A;6.0
61;1317;2;Dortmund;2012-03-30;Dortmund;Stuttgart;4;4;D;4.0
62;1121;2;Dortmund;2012-04-07;Wolfsburg;Dortmund;1;3;A;3.0
63;1108;2;Dortmund;2012-04-11;Dortmund;Bayern Munich;1;0;H;1.0
64;1117;2;Dortmund;2012-04-14;Schalke 04;Dortmund;1;2;A;2.0
65;1492;2;Dortmund;2012-04-21;Dortmund;M'gladbach;2;0;H;2.0
66;1125;2;Dortmund;2012-04-28;Kaiserslautern;Dortmund;2;5;A;5.0
67;1207;2;Dortmund;2012-05-05;Dortmund;Freiburg;4;0;H;4.0
68;1276;3;Leverkusen;2011-08-07;Mainz;Leverkusen;2;0;H;0.0
69;1343;3;Leverkusen;2011-08-14;Leverkusen;Werder Bremen;1;0;H;1.0
70;1278;3;Leverkusen;2011-08-20;Stuttgart;Leverkusen;0;1;A;1.0
71;1109;3;Leverkusen;2011-08-27;Leverkusen;Dortmund;0;0;D;0.0
72;1273;3;Leverkusen;2011-09-09;Augsburg;Leverkusen;1;4;A;4.0
73;1188;3;Leverkusen;2011-09-17;Leverkusen;FC Koln;1;4;A;1.0
74;1262;3;Leverkusen;2011-09-24;Bayern Munich;Leverkusen;3;0;H;0.0
75;1469;3;Leverkusen;2011-10-01;Leverkusen;Wolfsburg;3;1;H;3.0
76;1274;3;Leverkusen;2011-10-15;M'gladbach;Leverkusen;2;2;D;2.0
77;1305;3;Leverkusen;2011-10-23;Leverkusen;Schalke 04;0;1;A;0.0
78;1277;3;Leverkusen;2011-10-28;Freiburg;Leverkusen;0;1;A;1.0
79;1226;3;Leverkusen;2011-11-05;Leverkusen;Hamburg;2;2;D;2.0
80;1265;3;Leverkusen;2011-11-18;Kaiserslautern;Leverkusen;0;2;A;2.0
81;1263;3;Leverkusen;2011-11-26;Hertha;Leverkusen;3;3;D;3.0
82;1640;3;Leverkusen;2011-12-02;Leverkusen;Hoffenheim;2;0;H;2.0
83;1275;3;Leverkusen;2011-12-10;Hannover;Leverkusen;0;0;D;0.0
84;1284;3;Leverkusen;2011-12-17;Leverkusen;Nurnberg;0;3;A;0.0
85;1422;3;Leverkusen;2012-01-22;Leverkusen;Mainz;3;2;H;3.0
86;1272;3;Leverkusen;2012-01-28;Werder Bremen;Leverkusen;1;1;D;1.0
87;1318;3;Leverkusen;2012-02-04;Leverkusen;Stuttgart;2;2;D;2.0
88;1268;3;Leverkusen;2012-02-11;Dortmund;Leverkusen;1;0;H;0.0
89;1631;3;Leverkusen;2012-02-18;Leverkusen;Augsburg;4;1;H;4.0
90;1269;3;Leverkusen;2012-02-25;FC Koln;Leverkusen;0;2;A;2.0
91;1103;3;Leverkusen;2012-03-03;Leverkusen;Bayern Munich;2;0;H;2.0
92;1271;3;Leverkusen;2012-03-10;Wolfsburg;Leverkusen;3;2;H;2.0
93;1483;3;Leverkusen;2012-03-17;Leverkusen;M'gladbach;1;2;A;1.0
94;1264;3;Leverkusen;2012-03-24;Schalke 04;Leverkusen;2;0;H;0.0
95;1206;3;Leverkusen;2012-03-31;Leverkusen;Freiburg;0;2;A;0.0
96;1267;3;Leverkusen;2012-04-08;Hamburg;Leverkusen;1;1;D;1.0
97;1234;3;Leverkusen;2012-04-11;Leverkusen;Kaiserslautern;3;1;H;3.0
98;1410;3;Leverkusen;2012-04-14;Leverkusen;Hertha;3;3;D;3.0
99;1266;3;Leverkusen;2012-04-21;Hoffenheim;Leverkusen;0;1;A;1.0
100;1372;3;Leverkusen;2012-04-28;Leverkusen;Hannover;1;0;H;1.0
101;1270;3;Leverkusen;2012-05-05;Nurnberg;Leverkusen;1;4;A;4.0
102;1311;5;Schalke 04;2011-08-06;Stuttgart;Schalke 04;3;0;H;0.0
103;1180;5;Schalke 04;2011-08-13;Schalke 04;FC Koln;5;1;H;5.0
104;1312;5;Schalke 04;2011-08-21;Mainz;Schalke 04;2;4;A;4.0
105;1486;5;Schalke 04;2011-08-28;Schalke 04;M'gladbach;1;0;H;1.0
106;1298;5;Schalke 04;2011-09-11;Wolfsburg;Schalke 04;2;1;H;1.0
107;1100;5;Schalke 04;2011-09-18;Schalke 04;Bayern Munich;0;2;A;0.0
108;1195;5;Schalke 04;2011-09-24;Schalke 04;Freiburg;4;2;H;4.0
109;1309;5;Schalke 04;2011-10-02;Hamburg;Schalke 04;1;2;A;2.0
110;1232;5;Schalke 04;2011-10-15;Schalke 04;Kaiserslautern;1;2;A;1.0
111;1305;5;Schalke 04;2011-10-23;Leverkusen;Schalke 04;0;1;A;1.0
112;1647;5;Schalke 04;2011-10-29;Schalke 04;Hoffenheim;3;1;H;3.0
113;1300;5;Schalke 04;2011-11-06;Hannover;Schalke 04;2;2;D;2.0
114;1289;5;Schalke 04;2011-11-19;Schalke 04;Nurnberg;4;0;H;4.0
115;1304;5;Schalke 04;2011-11-26;Dortmund;Schalke 04;2;0;H;0.0
116;1627;5;Schalke 04;2011-12-04;Schalke 04;Augsburg;3;1;H;3.0
117;1303;5;Schalke 04;2011-12-09;Hertha;Schalke 04;1;2;A;2.0
118;1346;5;Schalke 04;2011-12-17;Schalke 04;Werder Bremen;5;0;H;5.0
119;1315;5;Schalke 04;2012-01-21;Schalke 04;Stuttgart;3;1;H;3.0
120;1299;5;Schalke 04;2012-01-28;FC Koln;Schalke 04;1;4;A;4.0
121;1431;5;Schalke 04;2012-02-04;Schalke 04;Mainz;1;1;D;1.0
122;1308;5;Schalke 04;2012-02-11;M'gladbach;Schalke 04;3;0;H;0.0
123;1472;5;Schalke 04;2012-02-19;Schalke 04;Wolfsburg;4;0;H;4.0
124;1310;5;Schalke 04;2012-02-26;Bayern Munich;Schalke 04;2;0;H;0.0
125;1302;5;Schalke 04;2012-03-03;Freiburg;Schalke 04;2;1;H;1.0
126;1216;5;Schalke 04;2012-03-11;Schalke 04;Hamburg;3;1;H;3.0
127;1306;5;Schalke 04;2012-03-18;Kaiserslautern;Schalke 04;1;4;A;4.0
128;1264;5;Schalke 04;2012-03-24;Schalke 04;Leverkusen;2;0;H;2.0
129;1296;5;Schalke 04;2012-04-01;Hoffenheim;Schalke 04;1;1;D;1.0
130;1369;5;Schalke 04;2012-04-08;Schalke 04;Hannover;3;0;H;3.0
131;1297;5;Schalke 04;2012-04-11;Nurnberg;Schalke 04;4;1;H;1.0
132;1117;5;Schalke 04;2012-04-14;Schalke 04;Dortmund;1;2;A;1.0
133;1307;5;Schalke 04;2012-04-22;Augsburg;Schalke 04;1;1;D;1.0
134;1409;5;Schalke 04;2012-04-28;Schalke 04;Hertha;4;0;H;4.0
135;1301;5;Schalke 04;2012-05-05;Werder Bremen;Schalke 04;2;3;A;3.0
136;1491;6;M'gladbach;2011-08-07;Bayern Munich;M'gladbach;0;1;A;1.0
137;1325;6;M'gladbach;2011-08-13;M'gladbach;Stuttgart;1;1;D;1.0
138;1477;6;M'gladbach;2011-08-19;M'gladbach;Wolfsburg;4;1;H;4.0
139;1486;6;M'gladbach;2011-08-28;Schalke 04;M'gladbach;1;0;H;0.0
140;1236;6;M'gladbach;2011-09-10;M'gladbach;Kaiserslautern;1;0;H;1.0
141;1488;6;M'gladbach;2011-09-17;Hamburg;M'gladbach;0;1;A;1.0
142;1294;6;M'gladbach;2011-09-24;M'gladbach;Nurnberg;1;0;H;1.0
143;1499;6;M'gladbach;2011-10-01;Freiburg;M'gladbach;1;0;H;0.0
144;1274;6;M'gladbach;2011-10-15;M'gladbach;Leverkusen;2;2;D;2.0
145;1484;6;M'gladbach;2011-10-22;Hoffenheim;M'gladbach;1;0;H;0.0
146;1378;6;M'gladbach;2011-10-29;M'gladbach;Hannover;2;1;H;2.0
147;1497;6;M'gladbach;2011-11-05;Hertha;M'gladbach;1;2;A;2.0
148;1330;6;M'gladbach;2011-11-19;M'gladbach;Werder Bremen;5;0;H;5.0
149;1498;6;M'gladbach;2011-11-25;FC Koln;M'gladbach;0;3;A;3.0
150;1116;6;M'gladbach;2011-12-03;M'gladbach;Dortmund;1;1;D;1.0
151;1493;6;M'gladbach;2011-12-10;Augsburg;M'gladbach;1;0;H;0.0
152;1421;6;M'gladbach;2011-12-18;M'gladbach;Mainz;1;0;H;1.0
153;1097;6;M'gladbach;2012-01-20;M'gladbach;Bayern Munich;3;1;H;3.0
154;1496;6;M'gladbach;2012-01-29;Stuttgart;M'gladbach;0;3;A;3.0
155;1489;6;M'gladbach;2012-02-04;Wolfsburg;M'gladbach;0;0;D;0.0
156;1308;6;M'gladbach;2012-02-11;M'gladbach;Schalke 04;3;0;H;3.0
157;1487;6;M'gladbach;2012-02-18;Kaiserslautern;M'gladbach;1;2;A;2.0
158;1225;6;M'gladbach;2012-02-24;M'gladbach;Hamburg;1;1;D;1.0
159;1495;6;M'gladbach;2012-03-04;Nurnberg;M'gladbach;1;0;H;0.0
160;1196;6;M'gladbach;2012-03-10;M'gladbach;Freiburg;0;0;D;0.0
161;1483;6;M'gladbach;2012-03-17;Leverkusen;M'gladbach;1;2;A;2.0
162;1638;6;M'gladbach;2012-03-24;M'gladbach;Hoffenheim;1;2;A;1.0
163;1490;6;M'gladbach;2012-04-01;Hannover;M'gladbach;2;1;H;1.0
164;1402;6;M'gladbach;2012-04-07;M'gladbach;Hertha;0;0;D;0.0
165;1494;6;M'gladbach;2012-04-10;Werder Bremen;M'gladbach;2;2;D;2.0
166;1184;6;M'gladbach;2012-04-15;M'gladbach;FC Koln;3;0;H;3.0
167;1492;6;M'gladbach;2012-04-21;Dortmund;M'gladbach;2;0;H;0.0
168;1624;6;M'gladbach;2012-04-28;M'gladbach;Augsburg;0;0;D;0.0
169;1485;6;M'gladbach;2012-05-05;Mainz;M'gladbach;0;3;A;3.0
170;1466;7;Wolfsburg;2011-08-06;FC Koln;Wolfsburg;0;3;A;3.0
171;1094;7;Wolfsburg;2011-08-13;Wolfsburg;Bayern Munich;0;1;A;0.0
172;1477;7;Wolfsburg;2011-08-19;M'gladbach;Wolfsburg;4;1;H;1.0
173;1482;7;Wolfsburg;2011-08-27;Freiburg;Wolfsburg;3;0;H;0.0
174;1298;7;Wolfsburg;2011-09-11;Wolfsburg;Schalke 04;2;1;H;2.0
175;1479;7;Wolfsburg;2011-09-17;Hoffenheim;Wolfsburg;3;1;H;1.0
176;1242;7;Wolfsburg;2011-09-24;Wolfsburg;Kaiserslautern;1;0;H;1.0
177;1469;7;Wolfsburg;2011-10-01;Leverkusen;Wolfsburg;3;1;H;1.0
178;1285;7;Wolfsburg;2011-10-15;Wolfsburg;Nurnberg;2;1;H;2.0
179;1470;7;Wolfsburg;2011-10-22;Hamburg;Wolfsburg;1;1;D;1.0
180;1403;7;Wolfsburg;2011-10-29;Wolfsburg;Hertha;2;3;A;2.0
181;1468;7;Wolfsburg;2011-11-05;Dortmund;Wolfsburg;5;1;H;1.0
182;1365;7;Wolfsburg;2011-11-19;Wolfsburg;Hannover;4;1;H;4.0
