1491,1,Bayern Munich,2011-08-07,Bayern Munich,M'gladbach,0,1,A
1094,1,Bayern Munich,2011-08-13,Wolfsburg,Bayern Munich,0,1,A
1211,1,Bayern Munich,2011-08-20,Bayern Munich,Hamburg,5,0,H
1104,1,Bayern Munich,2011-08-27,Kaiserslautern,Bayern Munich,0,3,A
1197,1,Bayern Munich,2011-09-10,Bayern Munich,Freiburg,7,0,H
1100,1,Bayern Munich,2011-09-18,Schalke 04,Bayern Munich,0,2,A
1262,1,Bayern Munich,2011-09-24,Bayern Munich,Leverkusen,3,0,H
1102,1,Bayern Munich,2011-10-01,Hoffenheim,Bayern Munich,0,0,D
1401,1,Bayern Munich,2011-10-15,Bayern Munich,Hertha,4,0,H
1101,1,Bayern Munich,2011-10-23,Hannover,Bayern Munich,2,1,H
1293,1,Bayern Munich,2011-10-29,Bayern Munich,Nurnberg,4,0,H
1106,1,Bayern Munich,2011-11-06,Augsburg,Bayern Munich,1,2,A
1122,1,Bayern Munich,2011-11-19,Bayern Munich,Dortmund,0,1,A
1095,1,Bayern Munich,2011-11-27,Mainz,Bayern Munich,3,2,H
1335,1,Bayern Munich,2011-12-03,Bayern Munich,Werder Bremen,4,1,H
1093,1,Bayern Munich,2011-12-11,Stuttgart,Bayern Munich,1,2,A
1178,1,Bayern Munich,2011-12-16,Bayern Munich,FC Koln,3,0,H
1097,1,Bayern Munich,2012-01-20,M'gladbach,Bayern Munich,3,1,H
1481,1,Bayern Munich,2012-01-28,Bayern Munich,Wolfsburg,2,0,H
1098,1,Bayern Munich,2012-02-04,Hamburg,Bayern Munich,1,1,D
1235,1,Bayern Munich,2012-02-11,Bayern Munich,Kaiserslautern,2,0,H
1096,1,Bayern Munich,2012-02-18,Freiburg,Bayern Munich,0,0,D
1310,1,Bayern Munich,2012-02-26,Bayern Munich,Schalke 04,2,0,H
1103,1,Bayern Munich,2012-03-03,Leverkusen,Bayern Munich,2,0,H
1643,1,Bayern Munich,2012-03-10,Bayern Munich,Hoffenheim,7,1,H
1105,1,Bayern Munich,2012-03-17,Hertha,Bayern Munich,0,6,A
1364,1,Bayern Munich,2012-03-24,Bayern Munich,Hannover,2,1,H
1092,1,Bayern Munich,2012-03-31,Nurnberg,Bayern Munich,0,1,A
1623,1,Bayern Munich,2012-04-07,Bayern Munich,Augsburg,2,1,H
1108,1,Bayern Munich,2012-04-11,Dortmund,Bayern Munich,1,0,H
1428,1,Bayern Munich,2012-04-14,Bayern Munich,Mainz,0,0,D
1099,1,Bayern Munich,2012-04-21,Werder Bremen,Bayern Munich,1,2,A
1324,1,Bayern Munich,2012-04-28,Bayern Munich,Stuttgart,2,0,H
1107,1,Bayern Munich,2012-05-05,FC Koln,Bayern Munich,1,4,A
1219,2,Dortmund,2011-08-05,Dortmund,Hamburg,3,1,H
1113,2,Dortmund,2011-08-13,Hoffenheim,Dortmund,1,0,H
1295,2,Dortmund,2011-08-20,Dortmund,Nurnberg,2,0,H
1109,2,Dortmund,2011-08-27,Leverkusen,Dortmund,0,0,D
1407,2,Dortmund,2011-09-10,Dortmund,Hertha,1,2,A
1118,2,Dortmund,2011-09-18,Hannover,Dortmund,2,1,H
1124,2,Dortmund,2011-09-24,Mainz,Dortmund,1,2,A
1634,2,Dortmund,2011-10-01,Dortmund,Augsburg,4,0,H
1123,2,Dortmund,2011-10-14,Werder Bremen,Dortmund,0,2,A
1179,2,Dortmund,2011-10-22,Dortmund,FC Koln,5,0,H
1114,2,Dortmund,2011-10-29,Stuttgart,Dortmund,1,1,D
1468,2,Dortmund,2011-11-05,Dortmund,Wolfsburg,5,1,H
1122,2,Dortmund,2011-11-19,Bayern Munich,Dortmund,0,1,A
1304,2,Dortmund,2011-11-26,Dortmund,Schalke 04,2,0,H
1116,2,Dortmund,2011-12-03,M'gladbach,Dortmund,1,1,D
1233,2,Dortmund,2011-12-11,Dortmund,Kaiserslautern,1,1,D
1110,2,Dortmund,2011-12-17,Freiburg,Dortmund,1,4,A
1115,2,Dortmund,2012-01-22,Hamburg,Dortmund,1,5,A
1637,2,Dortmund,2012-01-28,Dortmund,Hoffenheim,3,1,H
1112,2,Dortmund,2012-02-03,Nurnberg,Dortmund,0,2,A
1268,2,Dortmund,2012-02-11,Dortmund,Leverkusen,1,0,H
